日付,時刻,曜日,プロジェクト名,コミットID,作業内容,変更ファイル数,追加行数,削除行数,推定作業時間（分）,時間外,休日,深夜,作業者名
2025-02-24,00:00:00,,Excel-VBA,,Create GetStartRow.bas,1,34,0,4.1,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create IncreaseAllStartRows.bas,1,6,0,2.0,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create IsStartRowOverlap.bas,1,10,0,2.3,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create TransferBillingDetails.bas,1,81,0,7.7,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create ProcessRebillSelection.bas,1,81,0,7.7,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create ShowRebillSelectionForm.bas,1,34,0,4.1,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create CreateRebillSelectionForm.bas,1,41,0,4.6,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete .DS_Store,1,0,0,1.5,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete FindOrCreateReport.bas,1,0,21,2.2,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete ConvertToCircledNumber.bas,1,0,25,2.3,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete ImportCSVData.bas,1,0,45,2.9,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete GetColumnMapping.bas,1,0,67,3.6,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete IsSheetExist.bas,1,0,11,1.9,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete ProcessCSV.bas,1,0,120,5.2,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete ConvertToWesternDate.bas,1,0,17,2.0,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete GetStartRow.bas,1,0,34,2.5,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete IsStartRowOverlap.bas,1,0,10,1.8,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete IncreaseAllStartRows.bas,1,0,6,1.7,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete ProcessRebillSelection.bas,1,0,81,4.0,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete TransferBillingDetails.bas,1,0,81,4.0,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete CreateRebillSelectionForm.bas,1,0,41,2.8,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete ShowRebillSelectionForm.bas,1,0,34,2.5,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Merge pull request #1 from ravikla3575s/fix,16,46,0,16.4,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create GetColumnMapping.bas,1,65,0,6.4,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create FindFixFile.bas,1,10,0,2.3,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create FormatImportedSheet.bas,1,0,0,1.5,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create GetLastRow.bas,1,0,0,1.5,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create GetLastColumn.bas,1,0,0,1.5,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create GetTemlatePath.bas,1,3,0,1.7,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create GetSavePath.bas,1,3,0,1.7,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create OpenCSVWorkbook.bas,1,0,0,1.5,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create ImportCSVData.bas,1,0,0,1.5,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete ProcessCSVfix.bas,1,0,46,2.9,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create ProcessCSV.bas,1,46,0,5.0,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create ProcessAllCSVFiles.bas,1,27,0,3.6,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create SelectCSVFolder.bas,1,11,0,2.4,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create SetTemplateInfo.bas,1,30,0,3.8,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Update FormatImportedSheet.bas,1,17,0,2.8,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete GetColumnMapping.bas,1,0,65,3.5,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Create GetColumnMapping.bas,1,65,0,6.4,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Update GetLastRow.bas,1,6,0,2.0,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Update GetLastColumn.bas,1,6,0,2.0,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Update ImportCSVData.bas,1,73,0,7.1,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Update OpenCSVWorkbook.bas,1,5,0,1.9,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Merge pull request #2 from ravikla3575s/fix,13,256,0,30.0,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete FindFixFile.bas,1,0,10,1.8,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete FormatImportedSheet.bas,1,0,17,2.0,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete GetColumnMapping.bas,1,0,65,3.5,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete GetLastRow.bas,1,0,6,1.7,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete GetLastColumn.bas,1,0,6,1.7,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete GetTemlatePath.bas,1,0,3,1.6,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete GetSavePath.bas,1,0,3,1.6,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete ProcessAllCSVFiles.bas,1,0,27,2.3,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete OpenCSVWorkbook.bas,1,0,5,1.7,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete ImportCSVData.bas,1,0,73,3.7,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete ProcessCSV.bas,1,0,46,2.9,,,,Sekine53629
2025-02-24,00:00:00,,Excel-VBA,,Delete SetTemplateInfo.bas,1,0,30,2.4,,,,Sekine53629
